,uid,timestamp,clock,type,item,quantity,status,init_time,acked_time,received_time
0,79191441-1f71-4d05-94cb-1d196a4afb5d,2026-04-22 03:28:09.255220,{},ELECT,,,DONE,1776842889.2469473,,
1,9e446964-44e1-40be-81a6-9de988ede4ea,2026-04-22 03:28:24.291383,"{0: 1, 1: 1, 2: 1, 3: 0, 4: 2, 5: 0}",RESTOCK,FISH,0.0,DONE,1776842898.2858515,1776842904.2928355,
2,36dcf4c6-de7d-45bf-bf04-765e7d0a5362,2026-04-22 03:28:28.351887,"{0: 3, 1: 2, 2: 4, 3: 1, 4: 4, 5: 0}",RESTOCK,FISH,0.0,DONE,1776842908.3410015,1776842908.3532069,
3,dd01d3b2-5e94-4bdb-bb51-cd4290f9de99,2026-04-22 03:28:38.456155,"{0: 4, 1: 3, 2: 8, 3: 2, 4: 5, 5: 0}",RESTOCK,FISH,20,ACKED,1776842918.4411669,1776842918.4571784,
4,d50b4cb5-ba55-4e7e-8dfc-ab07bb6d0be7,2026-04-22 03:28:48.490573,"{0: 7, 1: 4, 2: 12, 3: 3, 4: 8, 5: 0}",RESTOCK,BOAR,0.0,DONE,1776842928.4810688,1776842928.4916716,
5,d768c834-1532-4e86-8beb-e0b2eecd662f,2026-04-22 03:28:58.567051,"{0: 8, 1: 5, 2: 14, 3: 4, 4: 10, 5: 0}",RESTOCK,SALT,20,ACKED,1776842938.560502,1776842938.5682786,
6,ddf7858d-4c2c-4ec6-a9d8-23f67a1a3dc7,2026-04-22 03:29:08.652407,"{0: 9, 1: 6, 2: 17, 3: 5, 4: 13, 5: 0}",RESTOCK,SALT,20,ACKED,1776842948.646988,1776842948.6535335,
7,a58672d6-d51d-4f10-9797-74f75a68eeb3,2026-04-22 03:29:18.667874,"{0: 11, 1: 7, 2: 19, 3: 6, 4: 14, 5: 0}",RESTOCK,BOAR,20,ACKED,1776842958.6618705,1776842958.6689408,
8,700bb79b-c526-4ffc-abfd-1d69708c17e9,2026-04-22 03:30:25.975318,"{0: 12, 1: 8, 2: 23, 3: 7, 4: 15, 5: 0}",RESTOCK,FISH,20,ACKED,1776842968.6972518,1776843025.9773493,
9,4b1d6623-115d-4c41-a47d-e944d5c36cd3,2026-04-22 03:30:25.978373,"{0: 15, 1: 9, 2: 25, 3: 8, 4: 18, 5: 0}",RESTOCK,FISH,20,ACKED,1776842978.7044718,1776843025.979404,
10,a301bac5-d3b3-4279-952c-69c96da25440,2026-04-22 03:30:25.980427,"{0: 17, 1: 10, 2: 28, 3: 9, 4: 19, 5: 0}",RESTOCK,FISH,20,ACKED,1776842988.7973828,1776843025.982482,
