,uid,timestamp,clock,sender,type,item,quantity,status,init_time,acked_time,received_time
0,e64255d6-fc6b-4df6-8df6-70af414248fb,2026-04-22 04:41:15.028057,"{0: 540, 1: 279, 2: 794, 3: 281, 4: 108, 5: 54}",4,BUY,BOAR,7,RECIEVED,1776847275.028057,,
1,f79c5733-25e1-424d-bead-84e1def620a0,2026-04-22 04:41:21.111448,"{0: 540, 1: 279, 2: 794, 3: 281, 4: 109, 5: 54}",4,BUY,FISH,9,RECIEVED,1776847281.1114483,,
2,294486ec-1843-4879-a43d-4d116a08b048,2026-04-22 04:41:23.182063,"{0: 540, 1: 279, 2: 794, 3: 281, 4: 110, 5: 54}",4,BUY,SALT,4,RECIEVED,1776847283.182063,,
3,764cf8ad-15f7-46ab-b82c-10c9960658ef,2026-04-22 04:41:29.291510,"{0: 540, 1: 279, 2: 794, 3: 281, 4: 111, 5: 54}",4,BUY,FISH,8,RECIEVED,1776847289.2915106,,
4,6354e42b-e3a8-4113-a1e5-0d88ce40fa82,2026-04-22 04:41:36.316405,"{0: 540, 1: 279, 2: 794, 3: 281, 4: 112, 5: 54}",4,BUY,FISH,7,RECIEVED,1776847296.3164058,,
5,410cabd3-6bd4-4961-a2e0-8a213bc07b63,2026-04-22 04:41:41.351247,"{0: 540, 1: 279, 2: 794, 3: 281, 4: 113, 5: 54}",4,BUY,SALT,1,RECIEVED,1776847301.351247,,
6,4217e6d8-4651-4dfd-8e57-3c8962be831d,2026-04-22 04:41:43.355921,"{0: 540, 1: 279, 2: 794, 3: 281, 4: 114, 5: 54}",4,BUY,SALT,7,RECIEVED,1776847303.3559215,,
7,43bacdde-5353-462c-8269-494296c77222,2026-04-22 04:42:10.393557,"{0: 540, 1: 279, 2: 794, 3: 282, 4: 114, 5: 54}",3,RESTOCK,FISH,20,RECIEVED,,,
8,fd1c03d3-8a99-44f6-8891-968be6b9e639,2026-04-22 04:42:10.395549,"{0: 540, 1: 280, 2: 794, 3: 281, 4: 114, 5: 54}",1,RESTOCK,FISH,20,RECIEVED,,,
9,34a500b4-a8f4-49e1-9998-331b28e29612,2026-04-22 04:42:10.397840,"{0: 541, 1: 280, 2: 794, 3: 282, 4: 114, 5: 54}",0,BUY,FISH,9,RECIEVED,,,
